round	firstVariant	application	metric	quantile	baselineValue	candidateValue	maximumRegression	regressionPassed	direction	relativeDifference
0	baseline	image_edges	deviceStartupMs	p99Ms	66.468785	61.924283999999986	0.05	True	forward	-0.06837045389049934
0	baseline	image_edges	preparationMs	p50Ms	4.804378999999983	4.703198999999984	0.05	True	forward	-0.02105995384627224
0	baseline	image_edges	preparationMs	p95Ms	7.193178000000017	6.895376999999996	0.05	True	forward	-0.04140047695191473
0	baseline	image_edges	preparationMs	p99Ms	7.193178000000017	6.895376999999996	0.05	True	forward	-0.04140047695191473
0	baseline	image_edges	teardownMs	p50Ms	1.8960109999999872	1.9443620000000124	0.05	True	forward	0.02550143432713492
0	baseline	image_edges	teardownMs	p95Ms	2.6935230000000274	2.9688010000000418	0.05	False	forward	0.10219998121419849
0	baseline	image_edges	teardownMs	p99Ms	2.6935230000000274	2.9688010000000418	0.05	False	forward	0.10219998121419849
0	baseline	image_edges	coldWallMs	p50Ms	4.244945999999999	4.257508000000001	0.05	True	forward	0.002959283816567515
0	baseline	image_edges	coldWallMs	p95Ms	7.268349999999998	5.286988000000008	0.05	True	forward	-0.2726013469356856
0	baseline	image_edges	coldWallMs	p99Ms	7.268349999999998	5.286988000000008	0.05	True	forward	-0.2726013469356856
0	baseline	image_edges	peakProcessRssBytes	p50Ms	151089152	151236608	0.1	True	forward	0.0009759535879849679
0	baseline	image_edges	peakProcessRssBytes	p95Ms	152588288	152305664	0.1	True	forward	-0.0018521998228330228
0	baseline	image_edges	peakProcessRssBytes	p99Ms	152588288	152305664	0.1	True	forward	-0.0018521998228330228
0	baseline	image_edges	allocatedBufferBytes	p50Ms	1310752	1310752	0.1	True	forward	0.0
0	baseline	image_edges	allocatedBufferBytes	p95Ms	1310752	1310752	0.1	True	forward	0.0
0	baseline	image_edges	allocatedBufferBytes	p99Ms	1310752	1310752	0.1	True	forward	0.0
0	baseline	image_edges	coldCpuMs	p50Ms	3.851	3.804	0.1	True	forward	-0.012204622176058222
0	baseline	image_edges	coldCpuMs	p95Ms	7.011	4.999	0.1	True	forward	-0.2869776066181715
0	baseline	image_edges	coldCpuMs	p99Ms	7.011	4.999	0.1	True	forward	-0.2869776066181715
0	baseline	image_edges	wallMs	p50Ms	0.4817470000000412	0.4888809999999921	0.05	True	forward	0.014808602855752584
0	baseline	image_edges	wallMs	p95Ms	0.7626770000000533	0.7654220000000009	0.05	True	forward	0.003599164521740361
0	baseline	image_edges	wallMs	p99Ms	1.0241689999999721	0.9889830000000188	0.05	True	forward	-0.03435565809935104
0	baseline	image_edges	cpuMs	p50Ms	0.391	0.399	0.1	True	forward	0.020460358056265893
0	baseline	image_edges	cpuMs	p95Ms	1.054	0.994	0.1	True	forward	-0.05692599620493366
0	baseline	image_edges	cpuMs	p99Ms	1.929	2.14	0.1	False	forward	0.10938310005184038
0	baseline	image_edges	upload	p50Ms	0.013715999999988071	0.013776000000007116	0.05	True	forward	0.004374453194743166
0	baseline	image_edges	upload	p95Ms	0.01825399999995625	0.01848499999999831	0.05	True	forward	0.012654760602750725
0	baseline	image_edges	upload	p99Ms	0.025828999999987445	0.026159000000006927	0.05	True	forward	0.012776336676589839
0	baseline	image_edges	encode	p50Ms	0.04353200000002744	0.044723999999973785	0.05	True	forward	0.027382155654359863
0	baseline	image_edges	encode	p95Ms	0.06941000000000486	0.07092300000005025	0.05	True	forward	0.02179801181451224
0	baseline	image_edges	encode	p99Ms	0.13383199999998396	0.11151000000000977	0.05	True	forward	-0.16679120090842903
0	baseline	image_edges	submitWait	p50Ms	0.1600010000000225	0.16375800000002982	0.05	True	forward	0.023481103243147228
0	baseline	image_edges	submitWait	p95Ms	0.23649599999998827	0.2351419999999962	0.05	True	forward	-0.005725255395406914
0	baseline	image_edges	submitWait	p99Ms	0.31666699999999537	0.324861999999996	0.05	True	forward	0.02587892012745474
0	baseline	image_edges	readback	p50Ms	0.021220000000027994	0.021641000000045096	0.05	True	forward	0.019839773799083193
0	baseline	image_edges	readback	p95Ms	0.050034999999979846	0.044464000000004944	0.05	True	forward	-0.1113420605571529
0	baseline	image_edges	readback	p99Ms	0.3661519999999996	0.4041609999999878	0.05	False	forward	0.10380661583164441
0	baseline	image_edges	total	p50Ms	0.3537359999999694	0.3599980000000187	0.05	True	forward	0.0177024673769417
0	baseline	image_edges	total	p95Ms	0.5815550000000371	0.5663170000000264	0.05	True	forward	-0.02620216488553928
0	baseline	image_edges	total	p99Ms	0.8266269999999736	0.8213670000000093	0.05	True	forward	-0.006363208557141786
0	baseline	image_edges	deviceStartupMs	p50Ms	53.15875299999999	55.425584000000015	0.05	True	reverse	0.04264266695646568
0	baseline	image_edges	deviceStartupMs	p95Ms	61.924283999999986	66.468785	0.05	False	reverse	0.07338802657774801
0	baseline	image_edges	deviceStartupMs	p99Ms	61.924283999999986	66.468785	0.05	False	reverse	0.07338802657774801
0	baseline	image_edges	preparationMs	p50Ms	4.703198999999984	4.804378999999983	0.05	True	reverse	0.021513016991201006
0	baseline	image_edges	preparationMs	p95Ms	6.895376999999996	7.193178000000017	0.05	True	reverse	0.04318850151340836
0	baseline	image_edges	preparationMs	p99Ms	6.895376999999996	7.193178000000017	0.05	True	reverse	0.04318850151340836
0	baseline	image_edges	teardownMs	p50Ms	1.9443620000000124	1.8960109999999872	0.05	True	reverse	-0.024867282944238123
0	baseline	image_edges	teardownMs	p95Ms	2.9688010000000418	2.6935230000000274	0.05	True	reverse	-0.09272362815830715
0	baseline	image_edges	teardownMs	p99Ms	2.9688010000000418	2.6935230000000274	0.05	True	reverse	-0.09272362815830715
0	baseline	image_edges	coldWallMs	p50Ms	4.257508000000001	4.244945999999999	0.05	True	reverse	-0.0029505522949111462
0	baseline	image_edges	coldWallMs	p95Ms	5.286988000000008	7.268349999999998	0.05	False	reverse	0.37476196276594287
0	baseline	image_edges	coldWallMs	p99Ms	5.286988000000008	7.268349999999998	0.05	False	reverse	0.37476196276594287
0	baseline	image_edges	peakProcessRssBytes	p50Ms	151236608	151089152	0.1	True	reverse	-0.000975002031254224
0	baseline	image_edges	peakProcessRssBytes	p95Ms	152305664	152588288	0.1	True	reverse	0.001855636833046459
0	baseline	image_edges	peakProcessRssBytes	p99Ms	152305664	152588288	0.1	True	reverse	0.001855636833046459
0	baseline	image_edges	allocatedBufferBytes	p50Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	image_edges	allocatedBufferBytes	p95Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	image_edges	allocatedBufferBytes	p99Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	image_edges	coldCpuMs	p50Ms	3.804	3.851	0.1	True	reverse	0.012355415352260923
0	baseline	image_edges	coldCpuMs	p95Ms	4.999	7.011	0.1	False	reverse	0.4024804960992199
0	baseline	image_edges	coldCpuMs	p99Ms	4.999	7.011	0.1	False	reverse	0.4024804960992199
0	baseline	image_edges	wallMs	p50Ms	0.4888809999999921	0.4817470000000412	0.05	True	reverse	-0.014592508197191156
0	baseline	image_edges	wallMs	p95Ms	0.7654220000000009	0.7626770000000533	0.05	True	reverse	-0.003586256992806014
0	baseline	image_edges	wallMs	p99Ms	0.9889830000000188	1.0241689999999721	0.05	True	reverse	0.035577962411843966
0	baseline	image_edges	cpuMs	p50Ms	0.399	0.391	0.1	True	reverse	-0.020050125313283207
0	baseline	image_edges	cpuMs	p95Ms	0.994	1.054	0.1	True	reverse	0.06036217303822933
0	baseline	image_edges	cpuMs	p99Ms	2.14	1.929	0.1	True	reverse	-0.09859813084112157
0	baseline	image_edges	upload	p50Ms	0.013776000000007116	0.013715999999988071	0.05	True	reverse	-0.0043554006982443605
0	baseline	image_edges	upload	p95Ms	0.01848499999999831	0.01825399999995625	0.05	True	reverse	-0.012496618882449573
0	baseline	image_edges	upload	p99Ms	0.026159000000006927	0.025828999999987445	0.05	True	reverse	-0.012615161130754005
0	baseline	image_edges	encode	p50Ms	0.044723999999973785	0.04353200000002744	0.05	True	reverse	-0.026652356675320732
0	baseline	image_edges	encode	p95Ms	0.07092300000005025	0.06941000000000486	0.05	True	reverse	-0.021332994938797367
0	baseline	image_edges	encode	p99Ms	0.11151000000000977	0.13383199999998396	0.05	False	reverse	0.20017935611131055
0	baseline	image_edges	submitWait	p50Ms	0.16375800000002982	0.1600010000000225	0.05	True	reverse	-0.022942390600805163
0	baseline	image_edges	submitWait	p95Ms	0.2351419999999962	0.23649599999998827	0.05	True	reverse	0.005758222690936066
0	baseline	image_edges	submitWait	p99Ms	0.324861999999996	0.31666699999999537	0.05	True	reverse	-0.025226096003843845
0	baseline	image_edges	readback	p50Ms	0.021641000000045096	0.021220000000027994	0.05	True	reverse	-0.019453814519487356
0	baseline	image_edges	readback	p95Ms	0.044464000000004944	0.050034999999979846	0.05	False	reverse	0.12529237135602478
0	baseline	image_edges	readback	p99Ms	0.4041609999999878	0.3661519999999996	0.05	True	reverse	-0.09404420515583978
0	baseline	image_edges	total	p50Ms	0.3599980000000187	0.3537359999999694	0.05	True	reverse	-0.017394541080919756
0	baseline	image_edges	total	p95Ms	0.5663170000000264	0.5815550000000371	0.05	True	reverse	0.026907191555277432
0	baseline	image_edges	total	p99Ms	0.8213670000000093	0.8266269999999736	0.05	True	reverse	0.006403958279264099
0	baseline	holoscript_lif	deviceStartupMs	p50Ms	54.73028400000001	56.19512200000001	0.05	True	forward	0.02676467017784878
0	baseline	holoscript_lif	deviceStartupMs	p95Ms	61.904466	63.686081	0.05	True	forward	0.02878007218412959
0	baseline	holoscript_lif	deviceStartupMs	p99Ms	61.904466	63.686081	0.05	True	forward	0.02878007218412959
0	baseline	holoscript_lif	preparationMs	p50Ms	5.220392000000004	5.616277999999994	0.05	False	forward	0.07583453503108384
0	baseline	holoscript_lif	preparationMs	p95Ms	8.255059000000017	9.521935000000013	0.05	False	forward	0.15346661968133657
0	baseline	holoscript_lif	preparationMs	p99Ms	8.255059000000017	9.521935000000013	0.05	False	forward	0.15346661968133657
0	baseline	holoscript_lif	teardownMs	p50Ms	2.2819480000000567	2.32024100000001	0.05	True	forward	0.016780838126001285
0	baseline	holoscript_lif	teardownMs	p95Ms	2.705235000000016	2.8812670000000935	0.05	False	forward	0.0650708718466515
0	baseline	holoscript_lif	teardownMs	p99Ms	2.705235000000016	2.8812670000000935	0.05	False	forward	0.0650708718466515
0	baseline	holoscript_lif	coldWallMs	p50Ms	5.0917300000000125	4.877778000000006	0.05	True	forward	-0.0420195100682883
0	baseline	holoscript_lif	coldWallMs	p95Ms	8.67310599999999	10.014772999999991	0.05	False	forward	0.15469279402327185
0	baseline	holoscript_lif	coldWallMs	p99Ms	8.67310599999999	10.014772999999991	0.05	False	forward	0.15469279402327185
0	baseline	holoscript_lif	peakProcessRssBytes	p50Ms	158265344	159719424	0.1	True	forward	0.009187608374958023
0	baseline	holoscript_lif	peakProcessRssBytes	p95Ms	162443264	164274176	0.1	True	forward	0.011271086008220133
0	baseline	holoscript_lif	peakProcessRssBytes	p99Ms	162443264	164274176	0.1	True	forward	0.011271086008220133
0	baseline	holoscript_lif	allocatedBufferBytes	p50Ms	2097216	2097216	0.1	True	forward	0.0
0	baseline	holoscript_lif	allocatedBufferBytes	p95Ms	2097216	2097216	0.1	True	forward	0.0
0	baseline	holoscript_lif	allocatedBufferBytes	p99Ms	2097216	2097216	0.1	True	forward	0.0
0	baseline	holoscript_lif	coldCpuMs	p50Ms	4.784	4.471	0.1	True	forward	-0.06542642140468224
0	baseline	holoscript_lif	coldCpuMs	p95Ms	17.59	20.556	0.1	False	forward	0.16861853325753273
0	baseline	holoscript_lif	coldCpuMs	p99Ms	17.59	20.556	0.1	False	forward	0.16861853325753273
0	baseline	holoscript_lif	wallMs	p50Ms	0.795708999999988	0.7890469999999823	0.05	True	forward	-0.00837240750073931
0	baseline	holoscript_lif	wallMs	p95Ms	1.3218279999999822	1.3345630000000028	0.05	True	forward	0.00963438510912229
0	baseline	holoscript_lif	wallMs	p99Ms	1.7084790000000112	1.6457699999999704	0.05	True	forward	-0.036704577580432884
0	baseline	holoscript_lif	cpuMs	p50Ms	0.647	0.645	0.1	True	forward	-0.0030911901081916993
0	baseline	holoscript_lif	cpuMs	p95Ms	1.648	1.62	0.1	True	forward	-0.016990291262135804
0	baseline	holoscript_lif	cpuMs	p99Ms	3.774	3.464	0.1	True	forward	-0.08214096449390573
0	baseline	holoscript_lif	upload	p50Ms	0.025498000000027332	0.025367999999957647	0.05	True	forward	-0.005098439095989726
0	baseline	holoscript_lif	upload	p95Ms	0.06716599999998607	0.06465099999996937	0.05	True	forward	-0.03744454039271683
0	baseline	holoscript_lif	upload	p99Ms	0.4259220000000141	0.4147609999999986	0.05	True	forward	-0.026204328492106854
0	baseline	holoscript_lif	encode	p50Ms	0.04977400000001353	0.04918299999997089	0.05	True	forward	-0.011873668984660246
0	baseline	holoscript_lif	encode	p95Ms	0.08449899999999388	0.08127300000001014	0.05	True	forward	-0.03817796660296546
0	baseline	holoscript_lif	encode	p99Ms	0.15086500000001024	0.14646499999997786	0.05	True	forward	-0.02916514764877265
0	baseline	holoscript_lif	submitWait	p50Ms	0.2152150000000006	0.21087699999998222	0.05	True	forward	-0.02015658759853345
0	baseline	holoscript_lif	submitWait	p95Ms	0.4263129999999933	0.41558599999996204	0.05	True	forward	-0.025162263407476182
0	baseline	holoscript_lif	submitWait	p99Ms	0.5666510000000358	0.5468099999999936	0.05	True	forward	-0.03501449745970786
0	baseline	holoscript_lif	readback	p50Ms	0.03451499999999896	0.03424499999994168	0.05	True	forward	-0.007822685790447315
0	baseline	holoscript_lif	readback	p95Ms	0.0544219999999882	0.05260000000009768	0.05	True	forward	-0.03347910771178786
0	baseline	holoscript_lif	readback	p99Ms	0.10107099999999036	0.09832599999992908	0.05	True	forward	-0.027159125763686398
0	baseline	holoscript_lif	total	p50Ms	0.5479419999999777	0.5406189999999924	0.05	True	forward	-0.013364553182609873
0	baseline	holoscript_lif	total	p95Ms	0.9571530000000052	0.9600180000000478	0.05	True	forward	0.0029932518625992444
